Date,Location / Operator,Manufacturer 1,Aircraft Type 1,Manufacturer 2,Aircraft Type 2,Occupants,Occupant Fatalities,Ground Fatalities
25-Jun-68,"Near Bearcat, South Vietnam Military - U.S. Army",bell,bell uh-1h,bell,bell uh-1h,29,29,0
28-Jun-68,"Vichy, Missouri Purdue Airlines Inc.",douglas,douglas dc-3 (c-47-dl),,,27,1,0
3-Jul-68,"London, England BKS Air Transport",airspeed,airspeed as.57 ambassador 2,,,8,6,0
8-Jul-68,"Near Dhahran, Saudi Arabia Saudi Arabian Airlines",convair,convair cv-340-68b,,,11,11,0
13-Jul-68,"Near Lagos, Nigeria Sabena",boeing,boeing 707-329c,,,7,7,0
15-Jul-68,"Gravata, Brazil Varig",curtiss,curtiss c-46c,,,3,3,0
18-Jul-68,Off Chili Aerolineas Flecha Austral,curtiss,curtiss c-46d,,,5,5,0
2-Aug-68,"Near Milan, Italy Alitalia",mcdonnell douglas,mcdonnell douglas dc-8,,,95,13,0
4-Aug-68,"Milwaukee, Wisconsin North Central Airlines / Private",convair,convair cv-580,cessna,cessna 150 n4634s,15,3,0
9-Aug-68,"Pfaffenhofen, Germany British Eagle International Airlines",vickers,vickers viscount 739a,,,48,48,0
10-Aug-68,"Charleston, West Virginia Piedmont Airlines",fairchild,fairchild-hiller fh-227b,,,37,35,0
14-Aug-68,"Compton, California Los Angeles Airways",sikorsky,sikorsky s-61l helicopter,,,21,21,0
18-Aug-68,"Off Port Said, Egypt United Arab Airlines",antonov,antonov an-24v,,,40,40,0
20-Aug-68,"Near Maturin, Venezuela Linea Aeropostal Venezolana",hawker siddeley,hawker siddeley hs-748-215-2,,,7,4,0
31-Aug-68,"Near Odda, Norway Westwing",de havilland canada,de havilland canada dhc-3 otter,,,6,5,0
3-Sep-68,"Near Burgas, Bulgaria Bulair TABSO",ilyushin,ilyushin il-18,,,89,47,0
6-Sep-68,"Bradore Bay, Quebec, Canada Northern Wings",de havilland,de havilland dhc-3 otter,,,9,9,0
8-Sep-68,"Flushing, New York Far Aviation - Air Taxi / Speeds Flying - Air Taxi",cessna,cessna 402,piper pa-,piper pa-28 n8283f,9,2,0
11-Sep-68,"Off Cap d'Antibes, France Air France",sud-aviation,sud-aviation caravelle 3,,,95,95,0
20-Sep-68,"Farnsborough, England Marine Nationale",breguet,breguet bre 1150 atllantic,,,5,5,1
28-Sep-68,"Port Harcourt, Biafra, Nigeria Pan African Airlines",douglas,douglas c-54b,,,57,57,1
8-Oct-68,"Puerto Cortes, Costa Rica Aerovias del Valle",britten-norman,britten-norman bn-2 islander,,,10,10,0
11-Oct-68,"Near Prague, Czechoslovakia Ceskoslovenske Aerolinie",avia,avia 14-40,,,40,11,0
20-Oct-68,"Feijó, Brazil Cruzeiro",douglas,douglas c-47a-25,,,19,19,0
21-Oct-68,"Near Ban Me Thuot, South Vietnam Military - U.S. Air Force",douglas,douglas c-47d,,,23,23,0
25-Oct-68,"Hanover, New Hampshire Northeast Airlines",fairchild,fairchild-hiller fh227c,,,42,32,0
22-Nov-68,"Off San Francisco, California Japan Air Lines",mcdonnell douglas,mcdonnell douglas dc-8-62,,,107,0,0
23-Nov-68,"Santa Ana, California Cable Commuter",de havilland canada,de havilland canada dhc-6 twin otter 200,,,9,9,0
25-Nov-68,"Savannakhet, Laos Air America",curtiss,curtiss c-46d-20-cu,,,28,26,0
2-Dec-68,"Pedro Bay, Alaska Wien Consolidated Airlines",fairchild,fairchild f-27b,,,39,39,0
6-Dec-68,"Charlotte Amalie, St. Thomas, US Virgin Islands Conquest Airways",beechcraft,beechcraft e18,,,11,3,4
12-Dec-68,"Near Caracas, Venezuela Pan American World Airways",boeing,boeing b-707-321b,,,51,51,0
24-Dec-68,"Prudhoe Bay, Alaska Interior Airways",lockheed,lockheed l-100 hercules,,,4,2,0
24-Dec-68,"Bradford, Pennsylvania Allegheny Airlines",convair,convair cv-580,,,47,20,0
26-Dec-68,"Elmendorf Air Force Base, Alaska Pan American World Airways",boeing,boeing 707-321cf,,,3,3,0
26-Dec-68,"Ensenada, Mexico Exportada De Sal S.A.",douglas,douglas dc-3,,,12,12,0
27-Dec-68,"Chicago, Illinois North Central Airlines",convair,convair cv-580,,,45,27,1
31-Dec-68,"Near Ciudad Victoria, Mexico Servicios Aéreos Especiales",douglas,douglas dc-3,,,26,26,0
31-Dec-68,"Port Hedland, WA, Australia MacRobertson Miller Airlines",vickers,vickers viscount 720,,,26,26,0
2-Jan-69,"Tyonek, Alaska ERA Helicopter",bell,bell 205a,,,2,2,0
2-Jan-69,"Mt. Paku, Taiwan China Airlines (Taiwan)",douglas,douglas dc-3d,,,24,24,0
5-Jan-69,"Gatwick Airport, Horley, Surrey, England Ariana Afghan Airlines",boeing,boeing b-727-113c,,,62,48,2
6-Jan-69,"Near Bradford, Pennsylvania Allegheny Airlines",convair,convair cv-580,,,28,11,0
13-Jan-69,"Off Los Angeles, California Scandinavian Airlines (SAS)",mcdonnell douglas,mcdonnell douglas dc-8-62,,,45,15,0
16-Jan-69,"Near Hue, Vietnam Air America",douglas,douglas c-47 skytrain (dc-3),,,12,12,0
18-Jan-69,"Off Los Angeles, California United Air Lines",boeing,boeing b-727-22qc,,,38,38,0
18-Feb-69,"Near Lone Pine, California Mineral County Airlines",douglas,douglas dc-3,,,35,35,0
24-Feb-69,"Tainan, Taiwan Far Eastern Air Transport",handley page,handley page dart herald 201,,,36,36,0
5-Mar-69,"San Juan, Puerto Rico Prinair",de havilland,de havilland dh-114 heron 2d,,,19,19,0
8-Mar-69,Atlantic Ocean Continental Air Transport,douglas,douglas dc-4,,,3,3,0
13-Mar-69,"Minchumina, Alaska Wien Consolidated Airlines",de havilland,de havilland dhc-6,,,5,1,0
16-Mar-69,"Maracaibo, Zulia, Venezuela Venezolana Internacional de Aviacion",mcdonnell douglas,mcdonnell douglas dc-9-32,,,84,84,71
20-Mar-69,"Near Aswan, Egypt United Arab Airlines",ilyushin,ilyushin il-18d,,,105,100,0
20-Mar-69,"New Orleans, Louisiana Avion Airways",douglas,douglas dc-3,,,27,16,0
2-Apr-69,"Zawoja, Poland LOT Polish Airlines",antonov,antonov an-24v,,,53,53,0
2-Apr-69,"Near Quang Tri, South Vietnam Military - U.S. Army",boeing,boeing vertol ch47c (helicopter),,,78,24,0
2-Apr-69,"Off New Providence Island, Bahamas Islands of the Bahamas Inc",curtiss,curtiss c-46f,,,2,2,0
7-Apr-69,"Sept-Îles, Quebec, Canada Air Canada",vickers,vickers 757 viscount,,,21,1,0
15-Apr-69,"Off Chongjin, North Korea Military - U.S. Navy",lockheed,lockheed ec-121m,,,31,31,0
16-Apr-69,"Kinshasa, Zaire Wigmo",curtiss,curtiss c-46,,,45,45,0
21-Apr-69,"Khulna, East Pakistan Indian Airlines",fokker,fokker f-27 friendship 100,,,44,44,0
24-Apr-69,"Near Takoradi, Ghana Ghana Airways",douglas,douglas dc-3,,,33,1,0
6-May-69,"Near Chon Thanh, South Vietnam Military - U.S. Army",boeing,boeing vertol ch47a (helicopter),,,74,30,0
7-May-69,"Medford, New Jersey Flying W Airways",curtiss,curtiss c-46f,,,2,2,0
23-May-69,"Near Lashio, Burma Union of Burma Airways",douglas,douglas c-47,,,6,6,0
25-May-69,"Reggio di Calabria, Italy Aero Transporti Italiani",fokker,fokker f-27 friendship 600,,,36,1,0
4-Jun-69,"Near Salinas Victoria, Nuevo Leon, Mexico Compania Mexicana de Aviacion",boeing,boeing b-727-64,,,79,79,0
5-Jun-69,"Off Andreanof Islands, Alaska Military - U.S. Air Force",boeing,boeing rc-135e,,,19,19,0
23-Jun-69,"Near Poroslitsy, Russia Aeroflot",ilyushin,ilyushin il-14m,antonov,antonov an-12bp,120,120,0
28-Jun-69,"Near Talas, Kyrgyzstan Aeroflot",ilyushin,ilyushin il-14,,,40,40,0
6-Jul-69,"Near Monroe, Georgia Air South",beechcraft,beechcraft b-99,,,14,14,0
12-Jul-69,"Hitauda, Nepal Royal Nepal Airlines",douglas,douglas dc-3,,,35,35,0
15-Jul-69,"New York City, New York New York Airways",de havilland canada,de havilland canada dhc-6 twin otter 200,,,14,3,0
25-Jul-69,"Kekaha, Hawaii Trans Isle Air",de havilland,de havilland dh-104 dove,,,13,1,0
26-Jul-69,"Biskra, Algeria Air Algerie",sud-aviation,sud aviation se-210 caravelle 6n,,,37,33,0
26-Jul-69,"Atlantic City, New Jersey Trans World Airlines",boeing,boeing 707-331c,,,5,5,0
3-Aug-69,"Preobrazhenka, Ukraine Aeroflot",antonov,antonov an-24b,,,55,55,0
3-Aug-69,"Uli , Nigeria Canairelief Air",lockheed,lockheed l-1049h super constellation,,,4,4,0
19-Aug-69,"Near Long Tieng, Laos Air America",pilatus,pilatus pc-6c,,,13,13,0
25-Aug-69,"Sucre, Ecuador TAO",douglas,douglas c-47b,,,1,1,0
26-Aug-69,"Moscow, Russia Aeroflot",ilyushin,ilyushin il-18,,,102,16,0
26-Aug-69,"Khovu-Aksy, Russia Aeroflot",antonov,antonov an-2,,,14,14,0
31-Aug-69,"Newton, Iowa Private Charter",cessna,cessna 172h,,,3,3,0
1-Sep-69,"Cross Bay, Russia Aeroflot",ilyushin,ilyushin il-14p,,,27,22,0
2-Sep-69,"Near Pakse, Laos Military - Royal Lao Air Force",douglas,douglas c-47,,,35,35,0
6-Sep-69,"Quito, Ecuador TAME Ecuador",douglas,douglas dc-3,,,16,1,?
8-Sep-69,"Near Medina, Colombia SATENA",douglas,douglas dc-3,,,32,32,0
9-Sep-69,"Near Fairland, Indiana Allegheny Airlines / Forth Corporation",mcdonnell douglas,mcdonnel douglas dc-9-31,piper,piper cherokee pa-28,83,83,0
12-Sep-69,"Near Antipolo, Philippines Philippine Air Lines",bac,bac one-eleven 402ap,,,47,45,0
14-Sep-69,"Londrina-Parana, Brazil VASP",douglas,douglas dc-3,,,21,20,0
17-Sep-69,"Campbell River, Canada Pacific Western Airlines",convair,convair cv-640,,,15,4,0
20-Sep-69,"Near Hoi An, Vietnam Air Vietnam (South Vietnam)",douglas,douglas dc-4,usaf,usaf f-4e,76,74,2
21-Sep-69,"Mexico City, Mexico Mexicana",boeing,boeing b-727-64,,,118,27,0
26-Sep-69,"Near La Paz, Bolivia Lloyd Aereo Boliviano",douglas,douglas dc-6b,,,74,74,0
26-Sep-69,"Uli, Nigeria Nordchurchaid",boeing,boeing c-97,,,5,5,0
2-Oct-69,Gulf of Tonkin Military - U.S. Navy,grumman,grumman c-2a,,,26,26,0
13-Oct-69,"Nizhnevartovsk, Russia Aeroflot",antonov,antonov an-24b,,,56,24,0
9-Nov-69,"Timmins, Ontario ,Canada Austin Airways",douglas,douglas c-47b,,,4,2,0
13-Nov-69,"Near Anderma, Russia Aeroflot",antonov,antonov an-12tb,,,12,12,0
19-Nov-69,"Mt. Pilot Knob, Glens Falls, New York Mohawk Airlines",fairchild,fairchild-hiller fh-227b,,,14,14,0
20-Nov-69,"Near Ikeja, Nigeria Nigeria Airways",bac,bac vc-10-1101,,,87,87,0
3-Dec-69,"Off Caracas, Venezuela Air France",boeing,boeing b-707-328b,,,62,62,0
5-Dec-69,"Nnear Albuquerque, New Mexico Private",lockheed,lockheed 18-08 lodestar,,,9,9,0
6-Dec-69,"Near Khantanga, Russia Aeroflot",antonov,antonov an-12pl,,,8,8,0
8-Dec-69,"Near Keratea, Greece Olympic Airways",douglas,douglas dc-6b,,,90,90,0
10-Dec-69,"Off Makhachkala , Russia Aeroflot",ilyushin,ilyushin 14p,,,17,17,0
22-Dec-69,"Nha Trang, Vietnam Air Vietnam (South Vietnam)",douglas,douglas dc-6b,,,77,10,24
23-Dec-69,"Near Luang Prabang, Laos Laos Air",douglas,douglas c-47a-25-dk,,,6,6,0
5-Jan-70,"Stockholm, Sweden Spantax",convair,convair cv-990-30a-5,,,10,5,0
12-Jan-70,Near Villia Greece Military - Royal Hellenic Air Force,douglas,douglas c-47,,,27,23,0
13-Jan-70,"Faleolo, Western Samoa Polynesian Airlines",douglas,douglas dc-3,,,32,32,0
14-Jan-70,"Mt. Pumacona, Peru Faucett",douglas,douglas dc-4,,,28,28,0
25-Jan-70,"Near Delhi, India Royal Nepal Airlines",fokker,fokker f-27 friendship 200,,,23,1,0
25-Jan-70,"Near Poza Rica, Mexico Charter -Federal Electricity Commission",convair,convair cv-240-2,,,19,18,0
28-Jan-70,"Near Batagai, Russia Aeroflot",antonov,antonov an-24,,,34,34,0
28-Jan-70,"Cleveland, Ohio TAG Airlines",de havilland,de havilland dove,,,9,9,0
29-Jan-70,"Near Murmansk, Russia Aeroflot",tupolev,tupolev tu-124,,,11,11,0
4-Feb-70,"Apuseni mountains, Romania Tarom",antonov,antonov an-24v,,,22,21,0
4-Feb-70,"Near Corrientes, Argentina Aerolineas Argentinas",hawker siddeley,hawker siddeley hs-748 1,,,37,37,0
6-Feb-70,"Near Samarkand, USSR Aeroflot",ilyushin,ilyushin il-18v,,,106,92,0
10-Feb-70,"Long Island Sound, Connecticut Pilgrim Airlines",de havilland canada,de havilland canada dhc-6 twin otter 100,,,5,5,0
12-Feb-70,"Puerto Infrida, Colombia Lineas Aéreas La Urraca",douglas,douglas dc-3 (c-47-dl),,,12,12,2
15-Feb-70,"Off Santo Domingo, Dominican Republic Compania Dominicana de Aviacion",mcdonnell douglas,mcdonnell douglas dc-9-32,,,102,102,0
19-Feb-70,Congo Air Congo,douglas,douglas dc-3,,,17,17,0
21-Feb-70,"Zurich, Switzerland Swissair",convair,convair cv-990-30a-6,,,47,47,0
6-Mar-70,"St. Moritz, Switzerland Bavaria Flug",handley page,handley page jetstream 1,,,11,11,0
14-Mar-70,"Belem Bay, Brazil Paraense Transportes Aereos",fairchild,fairchild-hiller fh-227b,,,40,38,0
16-Mar-70,"Near Da Nang, South Vietnam Military - U.S. Navy",lockheed,lockheed ec-121p,,,31,23,0
26-Mar-70,"Colorado City, Arizona Grand Canyon Airlines",piper,piper pa-32,,,6,6,0
1-Apr-70,"Novosibirsk, Russia Aeroflot",antonov,antonov an-24v,,,45,45,0
1-Apr-70,"Casablanca, Morocco Royal Air Maroc",aérospatiale,aérospatiale caravelle 3,,,82,61,0
4-Apr-70,"Zaporozhye, Ukraine Aeroflot",ilyushin,ilyushin il-14p,,,35,7,0
21-Apr-70,"Manila, Philippines Philippine Air Lines",hawker siddeley,hawker siddeley hs-748-209,,,36,36,0
25-Apr-70,"Rivolto, Italy Military - Italian Air Force",fairchild,fairchild c-119g,,,19,17,0
28-Apr-70,"Kainatu, New Guinea Trans Australia Airlines",de havilland canada,de havilland canada dhc-6 twin otter 100,,,11,8,0
2-May-70,"Near St. Croix, US Virgin Islands Antillean Airlines",mcdonnell douglas,mcdonnell douglas dc-9-33cf,,,63,23,0
4-May-70,"Hamilton AFB, California Military - U.S. Air Force",convair,convair cv-240,,,14,13,0
6-May-70,"Mogadishu, Somalia Somali Airlines",vickers,vickers 785d viscount,,,30,5,0
9-May-70,"Iligan, Philippines Philippine Air Lines",fokker,fokker f-27 friendship 100,,,33,1,0
9-May-70,"Pellston, Michigan Executive Jet Sales Inc.",learjet,learjet 23,,,6,6,0
15-May-70,"Kishiniev, Moldavia, USSR Aeroflot",antonov,antonov an-10,,,11,11,0
26-May-70,"Near Tegucigalpa, Honduras Aeroservicios",de havilland,de havilland dh-114 heron 1b,,,6,6,0
30-May-70,"Chamblee, Georgia Lehigh Acres Development Inc.",martin,martin 404,,,33,1,5
1-Jun-70,"Tripoli, Libya Ceskoslovenske Aerolinie",tupolev,tupolev tu-104a,,,13,13,0
2-Jun-70,"Roxas, Philippines Philippine Air Lines",fokker,fokker f-27 friendship 100,,,44,1,0
10-Jun-70,"Near Huaricanga, Peru Military - LADE",fokker,fokker f-27 friendship 400m,,,8,5,0
3-Jul-70,"McGrath, Alakska Reeder Flying Service",douglas,douglas dc-3,,,27,5,0
3-Jul-70,"Near Arbucias, Gerona, Spain Dan Air Services",de havilland,de havilland comet 4,,,112,112,0
5-Jul-70,"Toronto, Canada Air Canada",mcdonnell douglas,mcdonnell douglas dc-8-63,,,109,109,0
18-Jul-70,North Atlantic Ocean Military - Soviet Air Force,antonov,antonov an-22,,,23,23,0
27-Jul-70,"Tokyo, Japan Flying Tiger Line",mcdonnell douglas,mcdonnell douglas dc-8-63af,,,4,4,0
3-Aug-70,"Near Las Vegas, Nevada Military - United States Navy",lockheed,lockheed p-3a orion,,,10,10,0
6-Aug-70,"Islamabad, Pakistan Pakistan International Airlines",fokker,fokker f-27 friendship 200,,,30,30,0
9-Aug-70,"Near Cuzco, Peru Lineas Aereas Nacionales SA (Peru)",lockheed,lockheed 188a electra,,,100,99,2
12-Aug-70,"Taipei, Taiwan China Airlines (Taiwan)",namc,namc ys-11a-219,,,31,14,0
26-Aug-70,"Near Tam Ky, South Vietnam Military - U.S. Army",boeing,boeing vertol ch47b (helicopter),,,32,30,0
29-Aug-70,"Near Silchar, India Indian Airlines",fokker,fokker f-27 friendship 400,,,39,39,0
30-Aug-70,"Haringvreter, Netherlands Dutch Continental Airways",britten-norman,britten-norman bn-2a islander,,,10,3,0
2-Sep-70,"Lihovka, Ukraine Aeroflot",tupolev,tupolev tu-124,,,37,37,0
2-Sep-70,"Near Dnepropetrovsk, Ukraine, USSR Aeroflot",tupolev,tupolev tu-124,,,37,37,0
3-Sep-70,"Near Leningrad, USSR Aeroflot",yakovlev,yakovlev yak-40,,,21,21,0
8-Sep-70,"New York, New York Trans International Airlines",mcdonnell douglas,mcdonnell douglas dc-8-63cf,,,11,11,0
26-Sep-70,"Near Vagar, Faeroe Islands, Denmark Icelandair",fokker,fokker f-27 friendship 300,,,34,8,0
30-Sep-70,"Near Da Nang, Vietnam Air Vietnam (South Vietnam)",douglas,douglas dc-3-dst b-,,,38,4,0
2-Oct-70,"Mt. Trelease, near Silver Plume, Colorado Charter, Golden Eagle Aviation Inc.",martin,martin 404,,,40,32,0
2-Oct-70,"Near Taipei, Taiwan Military - U.S. Air Force",lockheed,lockheed c-130e,,,43,43,0
4-Oct-70,"Mahaffey, Pennsylvania Private",aero commander,aero commander 500-b,,,2,2,0
6-Oct-70,"Near Germiston, South Africa National Airways",douglas,douglas dc-3,,,11,3,0
10-Oct-70,"Fort Dix, New Jersey Saturn Airways",lockheed,lockheed l-100-20 hercules,,,3,3,0
28-Oct-70,"Pointe-à-Pitre, Guadeloupe Aerocosta Colombia",curtiss,curtiss c-46d,,,4,2,0
14-Nov-70,"Near Huntington, West Virginia Southern Airways",mcdonnell douglas,mcdonnell douglas dc-9-31,,,75,75,0
27-Nov-70,"Near Nha Trang, South Vietnam Military - U.S. Air Force",fairchild,fairchild c-123k,,,79,79,0
27-Nov-70,"Anchorage, Alaska Capitol Airlines",mcdonnell douglas,mcdonnell douglas dc-8-63cf,,,229,47,0
29-Nov-70,"Near Cam Ranh, South Vietnam Military - U.S. Air Force",fairchild,fairchild c-123k,,,44,42,0
2-Dec-70,"Dhaka, Bangladesh Cargolux",canadair,canadair cl-44j,,,8,8,0
5-Dec-70,"Delhi, India Jamair",douglas,douglas dc-3,,,16,5,0
7-Dec-70,"Near Constanta, Romania Tarom",bac,bac one-eleven 424eu,,,27,19,0
28-Dec-70,"St. Thomas, Virgin Islands Trans Caribbean Airways",boeing,boeing b-727-2a7,,,55,2,0
31-Dec-70,"Near Shemshernagar, Pakistan Pakistan International Airlines",fokker,fokker f-27 friendship 200,,,35,7,0
31-Dec-70,"Off Algiers, Algeria Rousseau Aviation",nord,nord 262e,,,31,31,0
31-Dec-70,"Leningrad, USSR Aeroflot",ilyushin,ilyushin il-18b,,,93,93,0
2-Jan-71,"Ben Gashir, Libya United Arab Airlines",de havilland,de havilland comet 4c,,,16,16,0
9-Jan-71,"Edison, New Jersey American Airlines / Private",boeing,boeing b-707-323,cessna,cessna 150,21,2,0
18-Jan-71,"Zurich, Switzerland Balkan Bulgarian Airlines",ilyushin,ilyushin il-18,,,47,45,0
21-Jan-71,"Near Pacae, Peru Fuerza Aérea del Peru",curtiss-wright,curtiss-wright c-46,,,35,35,0
21-Jan-71,"Near Privas, France L'Armée de L'Air",nord,nord 262a-34,,,21,21,0
22-Jan-71,"Surgut, USSR Aeroflot",antonov,antonov an-12b cccp,,,14,14,0
23-Jan-71,"Near Sokcho, South Korea Korean Airlines",fokker,fokker f-27 friendship 500,,,60,2,0
25-Jan-71,"Merida, Venezuela Linea Aeropostal Venezolana",vickers,vickers viscount 749,,,47,13,0
31-Jan-71,"Voroshilovgrad, Russia Aeroflot",antonov,antonov an-10,,,7,7,0
17-Feb-71,"Mt. Cunatineuta, Ecuador TAM (Transportes Aereos Militares)",curtiss,curtiss c-46,,,12,12,0
26-Mar-71,"Gauhati, India Jamair",douglas,douglas dc-3,,,15,15,0
31-Mar-71,"Ontario, California Western Airlines",boeing,boeing b-720-047b,,,5,5,0
31-Mar-71,"Vorochilovgrad, Ukraine Aeroflot",antonov,antonov an-10,,,65,65,0
15-Apr-71,"Near San Jose, Philippines Military - Philippine Air Force",douglas,douglas c-47a,,,40,39,0
22-Apr-71,"Manchester, New Hampshire New England Aviaiton",beechcraft,beechcraft c35,,,4,4,0
11-May-71,"Guatemala City, Guatemala Aviateca",curtiss,curtiss c-46a-55-ck,,,35,5,0
23-May-71,"Near Rijeka, Yugoslavia Aviogenex (Yugoslavia)",tupolev,tupolev tu-134a,,,83,78,0
25-May-71,"Santiago, Chile 	Aerolineas Flecha Austral - ALFA",curtiss,curtiss c-46,,,4,4,0
28-May-71,"Roanoke, Virginia Private",aero commander,aero commander 680e,,,6,6,0
6-Jun-71,"Near Duarte, California Hughes Airwest / Military - US Marine Air Corps",mcdonnell douglas,mcdonnell douglas dc-9-31,,f4-b,51,50,0
7-Jun-71,"New Haven, Connecticut Allegheny Airlines",convair,convair cv-580,,,31,28,0
13-Jun-71,North Pacific Ocean Military - U.S. Air Force,boeing,boeing - ec-135n,,,24,24,0
17-Jun-71,"Near Arica, Chile SAVCO",douglas,douglas dc-6,,,6,6,0
28-Jun-71,"Garberville, California Shelter Cove Sea Park",douglas,douglas dc-3,,,24,17,0
3-Jul-71,"Hokkaido, Japan Toa Domestic Airline (Japan)",namc,namc ys-11a-227,,,68,68,0
24-Jul-71,"Near Bamako, Mali Air Ivoire",douglas,douglas dc-3,,,6,6,0
25-Jul-71,"Manila, Philippines Pan American World Airways",boeing,boeing 707-321cf,,,4,4,0
25-Jul-71,"Near Irkutsk, Russia Aeroflot",tupolev,tupolev tu-104b,,,126,97,0
30-Jul-71,"Near Pau, France Military - French Air Force",nord,nord 2501 noratlas,,,39,37,0
30-Jul-71,"Near Morioko, Japan All Nippon Airways / Japanese Air Force",boeing,boeing b-727-281,air force,air force f86f ja8329,164,163,0
30-Jul-71,"San Francisco, California Pan American World Airways",boeing,boeing b-747-121,,,218,0,0
18-Aug-71,"Near Pegnitz, West Germany Military - U.S. Army",boeing,boeing vertol ch-47a (helicopter),,,37,37,0
19-Aug-71,"Augusta, Maine Downeast Airlines",piper,piper pa-31,,,8,3,0
28-Aug-71,"Off Copenhagen, Denmark Malev Hungarian Airlines",ilyushin,ilyushin il-18d,,,34,32,0
4-Sep-71,"Near Juneau, Alaska Alaska Airlines",boeing,boeing b-727-193,,,111,111,0
6-Sep-71,"Near Hasloh, Germany Pan International",bac,bac one-eleven 515fb,,,121,22,0
16-Sep-71,"Presevo, Russia Yemen Airlines",douglas,douglas dc-3,,,5,5,0
16-Sep-71,"Kiev, Ukraine, USSR Malev Hungarian Airlines",tupolev,tupolev tu-134a,,,49,49,0
17-Sep-71,"Rila mountain, Bulgaria Balkan Bulgarian Airlines",antonov,antonov an-14,,,9,9,0
28-Sep-71,"Sena Madureira, Brazil Cruzeiro",douglas,douglas dc-3,,,32,32,0
2-Oct-71,"Near Aarsele, West Vlaanderen, Belgium British European Airways",vickers,vickers vanguard 951,,,63,63,0
10-Oct-71,"Moscow, Russia Aeroflot",tupolev,tupolev tu-104b,,,25,25,0
16-Oct-71,"Colorado City, Arizona Scenic Air Lines",cessna,cessna 402,,,10,10,0
17-Oct-71,"San Vicente del Caguan, Colombia Aerolineas TAO",douglas,douglas c-47a hk-,,,21,19,0
21-Oct-71,"Peoria, Illinois Chicago and Southern Airlines",beechcraft,beechcraft e18s,,,16,16,0
23-Oct-71,"Near Qui Nhon, South Vietnam Military - Vietnamese Air Force",douglas,douglas c-47,,,23,22,0
24-Oct-71,"Bath, Pennsylvania Monmouth Airways",beechcraft,beechcraft b99,,,8,4,0
9-Nov-71,"Off Livorno, Italy Military - Royal Air Force",lockheed,lockheed c-130k hercules,,,52,52,0
10-Nov-71,"Off Padang, Indonesia Merpati Nusantara Airlines",vickers,vickers viscount 828,,,69,69,0
12-Nov-71,"Vinnitsa, Russia Aeroflot",antonov,antonov an-24,,,48,48,0
21-Nov-71,"Near Penghu Island, Taiwan China Airlines (Taiwan)",sud-aviation,sud aviation se-210 caravelle iii,,,25,25,0
28-Nov-71,"Near Hue, South Vietnam Military - U.S. Army",boeing,boeing vertol ch-47c,,,34,34,0
1-Dec-71,"Saratov, Russia Aeroflot",antonov,antonov an-24,,,57,57,0
4-Dec-71,"Raleigh, North Carolina Eastern Air Lines",douglas,douglas dc-9-31 /cessna 206 n8943e /,,,29,2,0
6-Dec-71,"Tikaka, Sudan Sudan Airways",fokker,fokker f-27 friendship 200,,,42,10,0
9-Dec-71,"Chinnamanur, India Indian Airlines",hal,hal-748-224 srs.2,,,31,21,0
21-Dec-71,"Sofia, Bulgaria Balkan Bulgarian Airlines",ilyushin,ilyushin il-18b,,,73,28,0
24-Dec-71,"Near Puerto Inca, Huanuco, Peru Lineas Aereas Nacionales SA (Peru)",lockheed,lockheed 188a electra,,,92,91,0
6-Jan-72,"Near Chetumal, Mexico SAESA",hawker siddeley,hawker siddeley hs-748-230 srs. 2a,,,23,23,0
7-Jan-72,"Sierra de Atalayasa, Spain Iberia Airlines",sud-aviation,sud-aviation caravelle vi-r,,,104,104,0
21-Jan-72,"Near Funza, Colombia Lineas Aéreas la Urraca",vickers,vickers viscount 837,,,20,20,0
21-Jan-72,"Near Betania, Colombia Miliitary - SATENA",douglas,douglas c-47,,,39,39,0
26-Jan-72,"Near Srbská Kamenice, Czech Republic JAT Yugoslav Airlines",mcdonnell douglas,mcdonnell douglas dc-9-32,,,28,27,0
1-Feb-72,"Near Tegal, Indonesia Royal Air Laos/PENAS",douglas,douglas dc-6,,,9,6,0
4-Feb-72,"Pha Khao, Laos Air America",de havilland canada,de havilland canada c-7a caribou,,,38,1,0
5-Feb-72,"Near Valledupar, Colombia TAC Colombia",fairchild,fairchild f-27,,,19,19,0
11-Feb-72,"Near Vientiane, Laos Royal Air Lao",douglas,douglas dc-4,,,23,23,0
3-Mar-72,"Albany, New York Mohawk Airlines",fairchild,fairchild-hiller fh-227-b,,,48,16,1
14-Mar-72,"Near Al Fujayrah, United Arab Emirates Sterling Airways",aérospatiale,aérospatiale caravelle super 10b,,,112,112,0
19-Mar-72,"Shamsam Mountains, South Yemen Egyptair",mcdonnell douglas,mcdonnell douglas dc-9-32,,,22,22,0
12-Apr-72,"Near Rio de Janeiro, Brazil VASP",namc,namc ys-11a-211,,,25,25,0
16-Apr-72,"Near Ardinello di Amaseno, Italy Aero Transporti Italiani",fokker,fokker f-27 friendship 200,,,18,18,0
17-Apr-72,"New York, New York Helaire Helicopter",bell,bell 47j-2,,,3,3,0
18-Apr-72,"Addis Ababa, Ethiopia East African Airways",bac,bac super vc-10 1154,,,107,43,0
20-Apr-72,"Near Moyobamba, Peru SATCO",douglas,douglas c-47d,,,6,6,0
24-Apr-72,"Nyot Mo, Laos Air America",pilatus,pilatus pc6ch2,,,10,4,0
4-May-72,"Bratsk, USSR Aeroflot",yakovlev,yakovlev yak-40,,,18,18,0
