Date,Location / Operator,Manufacturer 1,Aircraft Type 1,Manufacturer 2,Aircraft Type 2,Occupants,Occupant Fatalities,Ground Fatalities
22-Nov-48,"Near Ryzhovo, Russia Aeroflot",lisunov,lisunov li-2 cccp,,,26,23,?
26-Nov-48,"Vehari, Pakistan Pakistan Airways",douglas,douglas dc-3,,,21,21,0
5-Dec-48,"Kiangwan, China Central Air Transport",curtiss,curtiss c-46,,,40,9,0
6-Dec-48,"Milan, Italy Avio Linee Italiane Avio Linee Italiane",douglas,douglas c-47,,,7,7,0
12-Dec-48,"Taipei, Taiwan China National Aviation Corporation",douglas,douglas dc-3,,,10,2,0
15-Dec-48,"Near Bogata, Colombia LANSA",douglas,douglas c-47,,,30,30,0
21-Dec-48,"Near Pilos, Greece Ceskoslovenske Aerolinie",douglas,douglas dc-3,,,24,24,0
21-Dec-48,"Basalt Island, Hong Kong China National Aviation Corporation",douglas,douglas c-54b-5-do,,,33,33,0
23-Dec-48,"Near Madrid, Spain Iberia Airlines",douglas,douglas dc-3 (c-47-dl),,,27,27,0
28-Dec-48,"Off San Juan, Puerto Rico Airborne Transport",douglas,douglas dc-3dst,,,32,32,0
31-Dec-48,"Mt. Argentari, Italy Pan African Air Charter",douglas,douglas dc-3,,,13,13,0
2-Jan-49,"Seattle, Washington Seattle Air Charter",douglas,douglas dc-3 (c-47a-dl),,,30,14,0
5-Jan-49,"Caravelas Bay, Brazil British South American Airways",avro,avro 685 york 1,,,17,3,0
6-Jan-49,"Brandywine, Maryland Coastal Cargo",douglas,douglas c-47a,,,2,2,0
11-Jan-49,"Near Pelotas, Brazil Viacao Aerea Gaucha S.A.",lockheed,lockheed 18 lodestar,,,12,12,0
15-Jan-49,"Ras-el-Tin, Egypt Pan African Air Charter",douglas,douglas c-54 skymaster,,,30,30,0
16-Jan-49,"Near Srinagar, India Dalmia Jain Airways",douglas,douglas dc-3,,,13,13,0
17-Jan-49,"Atlantic Ocean, off Bermuda British South American Airways",avro,avro 688 tudor 4b,,,20,20,0
17-Jan-49,"Near Succoth Glen, Lochgoilhead, Scotland Military - U.S. Air Force",boeing,boeing b-29a superfortress,,,20,20,0
20-Jan-49,"Homer, Alaska Alaska Airlines",douglas,douglas dc-3c,,,6,5,0
30-Jan-49,"Port Washington, New York Pan American World Airways",lockheed,lockheed l-749,cessna,cessna 140,35,2,0
2-Feb-49,"Trinity Bay, Newfoundland Saint Lawrence Airways",avro,avro anson,,,10,6,0
4-Feb-49,"Castel Benito, Libya Skyways of London",douglas,douglas c-54a-1-do skymaster,,,53,1,0
5-Feb-49,"Buenaventura Bay, Colombia AVIANCA",consolidated,consolidated pby-5a catalina,,,14,3,0
8-Feb-49,"Off Copenhagen, Denmark Scandinavian Airlines (SAS)",vickers,vickers 628 viking 1b,,,27,27,0
10-Feb-49,"Near Huanuco, Peru Faucett",douglas,douglas dc-3,,,16,16,0
19-Feb-49,"Near Coventry, Warks, England British European Airways / Military - British",douglas,douglas dc-3,avro,avro anson,14,14,0
24-Feb-49,"Near Cuzco, Peru TAM (Peru)",douglas,douglas c-47,,,26,22,0
24-Feb-49,"Braemar Resevoir, Hong Kong Cathay Pacific Airways",douglas,douglas dc-3,,,23,23,0
10-Mar-49,"Coolangatta, Australia Queensland Airlines",lockheed,lockheed 18 lodestar,,,22,22,0
15-Mar-49,"Berlin, Germany Skyways",avro,avro 685 york i,,,3,3,0
18-Mar-49,"Near Waikanae, New Zealand New Zealand National Airways",lockheed,lockheed 18 lodestar,,,15,15,0
29-Apr-49,"Near Mironovo, Russia Aeroflot",lisunov,lisunov li-2,,,24,14,0
4-May-49,"Superga, Italy Avio Linee Italiane",fiat,fiat g-212cp,,,31,31,0
4-May-49,"Near Portland, Dorset, England Bristop Aeroplane Company",bristol,bristol 170 freighter 31 mark ii,,,7,7,0
7-May-49,"Sibuyan Sea, off the Philippine island of Elalat Philippine Air Lines",douglas,douglas dc-3,,,13,13,0
13-May-49,"Near Novosibirsk, Russia Aeroflot",ilyushin,ilyushin il-12,,,25,25,0
6-Jun-49,"Malahasa Attica, Greece Tech - Aeronautical Explotiation",douglas,douglas dc-3,,,22,22,0
7-Jun-49,"Near Florianpolis, Brazil Military - Brazilian Air Force",douglas,douglas c-47b,,,27,27,0
7-Jun-49,"San Juan, Puerto Rico Strato Freight",curtiss,curtiss c-46d-5-cu,,,81,53,0
23-Jun-49,"Off Bari, Italy KLM Royal Dutch Airlines",lockheed,lockheed 749-79-33 constellation,,,33,33,0
2-Jul-49,"Near Guildford, Australia Mac Roberston-Miller Airlines",douglas,douglas c-47a-20-dl,,,18,18,0
12-Jul-49,"Chatsworth, California Standard Airlines",curtiss,curtiss c-46e-1-cs,,,48,35,0
12-Jul-49,"Near Bombay, India KLM Royal Dutch Airlines",lockheed,lockheed l-749-79-33 constellation,,,45,45,0
13-Jul-49,"Jamnagar, Gujarat state, India Indian Air Force",hawker,hawker hunter,,,0,0,14
19-Jul-49,"Seattle, Washington Air Transport Associates",curtiss,curtiss c-46f-1-cu,,,32,2,4
21-Jul-49,"Marga, Russia Aeroflot",ilyushin,ilyushin il-12,,,14,13,0
30-Jul-49,"Chesterfield, New Jersey Eastern Air Lines / Military - USN",douglas,douglas dc-3,grumann,grumann f-6-f- 5 hellcat,16,16,0
2-Aug-49,"Jaquirana, Brazil Varig",curtiss,curtiss c-46d-10-cu,,,36,5,0
3-Aug-49,"Sao Francisco Bay, Brazil Lineas Aéreas Brasil",douglas,douglas dc-3,,,30,5,0
6-Aug-49,"Salasaca, Ecuador Shell Co of Ecuador",bristol,bristol 170 freighter 21,,,34,34,0
9-Aug-49,"Salalah, Oman Military - Royal Air Force",douglas,douglas c-47b,,,12,12,0
13-Aug-49,"Near Bogota, Colombia SAETA",douglas,douglas c-47,,,32,32,0
15-Aug-49,"Off Lurga Point, Ireland Transocean Air Lines",douglas,douglas dc-3 (c-54a-do),,,58,8,0
19-Aug-49,"Near Oldham, England British European Airways",douglas,douglas dc-3,,,32,24,0
21-Aug-49,"Near Bigstone Lake, Manitoba Military - Royal Canadian Air Force",consolidated,consolidated canso (amphibian),,,21,21,0
27-Aug-49,"Leopoldville, Zaire Sabena",douglas,douglas c-47b-5-dk,,,20,5,0
9-Sep-49,"Sault-aux-Cochons, PQ, Canada Canadian Pacific Air Lines",douglas,douglas dc-3,,,23,23,0
26-Sep-49,"Mt. Popocatepetl, Mexico Mexicana",douglas,douglas dc-3,,,24,24,0
27-Sep-49,"Near Castilla, Argentina Flota Aérea Mercante Argentina",douglas,douglas c-54a-1-do,,,27,5,0
9-Oct-49,"Cheyenne, Wyoming Slick Airways",curtiss,curtiss c-46e-1-cs,,,4,4,0
